class,cap.diameter,stem.height,colour,water.content
poisonous,11.95,6.6,grey,46.864077653735876
edible,6.07,6.87,grey,51.781114526093006
edible,6.58,3.22,brown,68.89168564230204
poisonous,8.1,7.08,grey,57.36420026049018
poisonous,13.79,4.72,grey,46.76193352788687
poisonous,2.19,0,brown,40.42203031480312
edible,9.6,7.43,grey,40.69056777283549
poisonous,8.53,8.47,red,50.393616426736116
poisonous,9.03,7.13,brown,50.909557454288006
edible,10.22,5.57,brown,55.878815492615104
poisonous,7.63,4.4,brown,32.59421752765775
poisonous,7.55,9.58,brown,51.11006869934499
edible,0.55,4.87,red,52.59858474135399
poisonous,3.05,3.63,grey,55.20534601993859
poisonous,9.46,10.71,red,37.07655446603894
edible,10.29,12.34,brown,68.14798540435731
edible,6.57,8.57,grey,49.25421115010977
poisonous,6.35,7.83,red,37.552759274840355
edible,5.05,4.29,brown,34.58463837392628
poisonous,3.83,4.63,grey,49.83164086006582
edible,6.38,4.95,brown,60.96113973297179
poisonous,3.05,2.95,grey,62.65073087066412
poisonous,5.64,5.73,grey,67.48266686685383
poisonous,4.08,4.53,grey,46.640367209911346
poisonous,10.35,6.35,grey,68.53386038914323
edible,5.02,7.54,brown,58.13567904755473
edible,43.7,5.46,brown,62.069773683324456
poisonous,3.31,6.14,brown,59.559520995244384
poisonous,9.52,11.05,brown,65.11668874882162
edible,7.5,6.3,brown,31.834272472187877
poisonous,3.18,5.57,brown,41.27405520528555
edible,8.59,6.4,brown,36.68563143350184
edible,13.13,7.15,grey,38.94885940477252
poisonous,1.88,5.4,brown,33.31664541736245
poisonous,1.9,3.93,grey,63.933593994006515
poisonous,1.29,3.87,grey,62.25229703821242
poisonous,12.59,15.47,brown,30.32855087891221
poisonous,6.77,5.99,red,40.07854849100113
edible,1.06,2.74,red,33.69302339851856
edible,7.75,6.04,grey,31.808408051729202
poisonous,4.02,6.46,brown,58.83290799334645
edible,16.9,13.84,brown,41.38728799298406
poisonous,1.34,1.91,brown,40.93093586154282
poisonous,3.25,4.62,grey,40.30880513601005
edible,7.7,6.78,grey,44.81130280531943
poisonous,7.9,4.59,red,58.58267229050398
edible,11.8,7.87,brown,38.426492884755135
edible,11.74,2.43,brown,49.80130456387997
poisonous,4.32,5.11,grey,39.793991604819894
poisonous,1.82,2.15,grey,33.86151120997965
edible,4.78,5.36,red,52.379462057724595
poisonous,8.26,7.7,grey,55.499240420758724
poisonous,3.59,3.64,grey,63.536477563902736
edible,10.12,9.04,brown,64.88857398740947
poisonous,1.21,3.79,brown,37.31551222503185
edible,51.59,4.05,brown,41.05927865020931
poisonous,5.87,5.85,brown,51.72433255240321
poisonous,6.62,5.93,brown,34.794799871742725
poisonous,10.65,12.24,red,62.28367133066058
edible,8.84,5.25,grey,58.10948473401368
poisonous,12.16,7.26,grey,65.46776361763477
poisonous,2.91,3.6,grey,50.59853947721422
poisonous,9.26,8.82,grey,42.989512803032994
edible,5.85,7.07,red,56.18059576489031
poisonous,4.42,6.38,brown,63.69432831183076
edible,1.47,5.33,grey,63.57225549407303
poisonous,1.25,3.55,brown,46.0164254065603
poisonous,2.36,4.07,red,51.16818473674357
poisonous,0.76,3.73,red,64.21094553545117
edible,8.3,6.3,brown,34.47521971538663
poisonous,1.78,3.65,brown,55.747407991439104
edible,4.52,5.74,grey,36.46035587415099
edible,8.99,19.38,grey,32.94516043737531
edible,5.69,5.31,brown,68.46738927066326
edible,4.75,8.74,brown,55.04324937239289
poisonous,7.86,6.09,red,55.36717928946018
edible,3.04,6.3,grey,55.70990006439388
poisonous,8.87,7.2,red,64.3843678291887
edible,9.89,5.77,brown,55.84151805378497
poisonous,26.9,5.98,brown,44.16933484375477
poisonous,10.12,3.68,grey,59.952184557914734
edible,10.02,10.82,grey,66.90083964727819
edible,20.04,17.04,grey,61.236186092719436
poisonous,10.12,9.08,brown,65.26424223557115
poisonous,1.5,4.61,brown,57.712720315903425
edible,8.54,5.18,grey,44.586942065507174
poisonous,7.63,1.13,red,58.76191884279251
edible,46.61,6.72,grey,56.814270513132215
poisonous,10.26,7.63,grey,52.3358491435647
edible,10.21,11.34,grey,55.716006541624665
edible,13.28,6.25,grey,43.93227658234537
poisonous,4.54,2.74,grey,55.698208129033446
poisonous,18.98,5.26,grey,42.05527174286544
edible,4.35,5.36,grey,32.540323566645384
poisonous,2.72,6.84,grey,65.65575983375311
edible,26.43,20.45,brown,45.913359289988875
poisonous,4.49,9.39,brown,53.180361427366734
edible,4.29,4.86,grey,41.15400622598827
poisonous,7.81,7.8,brown,35.58647898025811
poisonous,7.95,5.5,brown,31.467743683606386
edible,6.27,4.58,grey,48.95475317724049
poisonous,5.17,6.19,brown,38.14768651500344
poisonous,1.17,1.61,grey,39.70604997128248
edible,0.75,2.6,grey,39.65615248307586
edible,5.67,7.1,grey,37.14932898059487
edible,4.97,6.33,brown,37.67344664782286
edible,5.51,5.44,brown,63.13927677460015
poisonous,17.24,7.82,red,36.03928125463426
edible,14.58,18.59,grey,48.042818047106266
edible,4.37,5.24,brown,63.421854842454195
edible,14.74,13.22,grey,61.16406270302832
poisonous,6.53,8.1,brown,54.87027384340763
poisonous,3.09,3.86,red,53.08056025765836
edible,8.24,17.01,grey,42.84017911180854
poisonous,12.67,13.51,brown,59.04721382074058
edible,9.92,6.87,brown,66.18632532656193
poisonous,6.8,9.12,grey,63.055303106084466
edible,9.57,8.35,brown,43.64307370968163
edible,10.05,2.5,grey,65.29430001042783
poisonous,5.32,8.86,grey,44.20983389019966
edible,17.3,15.35,brown,44.46629462763667
edible,8.02,11.09,grey,41.02260686457157
edible,4.99,8.02,red,40.53275833837688
poisonous,4.29,4.63,grey,46.53741910122335
edible,6.53,6.98,red,60.90759021230042
poisonous,16.7,6.99,grey,66.77331230603158
edible,10.82,8.43,brown,38.76765774562955
poisonous,0.73,3.05,brown,30.51287860609591
poisonous,5.38,3.53,brown,45.32710552215576
poisonous,9.35,10.43,brown,47.4556546472013
poisonous,0.65,4.76,red,51.001320239156485
edible,6.96,8.42,brown,54.11737305112183
poisonous,2.2,2.83,brown,69.19213181361556
edible,5.4,5.92,brown,42.021010825410485
edible,8.32,6.47,brown,51.65768760256469
poisonous,3.78,4.84,brown,33.26699814759195
edible,6.78,5.7,grey,35.48555822111666
edible,6.15,6.34,brown,56.93163045682013
edible,1.52,4.89,brown,67.14006310328841
poisonous,7.5,5.09,brown,34.0253918338567
edible,3.73,4.33,brown,44.655004842206836
edible,15.46,8.8,grey,47.55449991673231
poisonous,10.28,10.8,red,41.98429179377854
edible,9.44,5.61,brown,53.595106322318316
edible,2.28,5.81,grey,50.82750441506505
edible,7.18,7.03,brown,42.26175953634083
poisonous,1.83,6.55,grey,36.07631056569517
poisonous,6.76,12.21,red,60.39502155967057
poisonous,5.43,6.56,brown,55.752325132489204
edible,5.48,4.61,grey,50.72911113500595
edible,7.17,8.79,grey,34.07914116978645
edible,7.67,8.85,grey,50.927632823586464
edible,18.64,7.13,grey,63.81974403746426
edible,4.62,6.4,brown,65.36828957498074
edible,54.13,6.87,brown,30.061193108558655
poisonous,2.3,3.65,grey,59.28506079129875
poisonous,1.92,4.2,grey,38.279021894559264
edible,5.52,4.8,brown,68.42692424543202
edible,6.06,6.06,grey,31.86934140510857
poisonous,4,4.6,brown,64.86316468566656
edible,6.07,5.45,brown,40.18503257073462
edible,12.15,11.85,grey,60.7009959500283
edible,8.49,6.49,red,62.01418467797339
poisonous,0.75,4.48,red,30.190803864970803
edible,7.12,7.5,grey,35.68356926552951
edible,4.95,7.11,brown,46.449025040492415
edible,2.33,5.71,grey,66.21282275766134
edible,3.13,2.83,grey,49.840979939326644
poisonous,9.27,10.57,brown,56.654321141541004
poisonous,7.34,6.02,brown,45.08242830634117
poisonous,8.54,14.09,grey,45.51144691184163
edible,6.9,4.45,brown,30.28659245930612
edible,10.43,7.81,brown,36.565591963008046
edible,2.54,6.96,brown,66.44103114493191
edible,5.19,6.55,grey,59.148535123094916
edible,7.01,8.38,brown,34.291803520172834
poisonous,4.51,5.23,red,35.09032031521201
poisonous,2.54,3.01,grey,44.949542256072164
poisonous,19.33,6.15,brown,43.37880093604326
edible,11.31,6.26,brown,38.150906935334206
poisonous,4.32,5.86,brown,57.81306277960539
edible,1.22,5.06,brown,45.235596066340804
poisonous,5.92,4.17,brown,36.66266931220889
poisonous,4.17,0,grey,50.70773543789983
edible,4.22,6.1,grey,32.007810743525624
poisonous,0.96,4.24,brown,37.28043684735894
poisonous,4.27,3.61,grey,37.83600156195462
poisonous,13.09,7.06,brown,62.984090177342296
poisonous,6.65,4.27,red,63.90121707692742
edible,10.38,9.11,brown,54.149779891595244
poisonous,2.99,5.4,grey,49.208429818972945
poisonous,7.64,7.26,red,52.66566841863096
edible,5.57,5.47,grey,40.854972610250115
poisonous,3.21,5.22,grey,30.358749851584435
edible,1.79,5.33,grey,50.18699426203966
poisonous,1.74,3.62,brown,30.329637387767434
poisonous,3.93,4.76,brown,65.75967607088387
edible,5.45,3.98,grey,48.13983725383878
poisonous,6.7,6.34,brown,51.33313584141433
poisonous,2.71,2.66,red,66.82404464110732
poisonous,6.97,10.64,brown,33.67944175377488
poisonous,12.07,5.44,brown,34.77920209988952
poisonous,4.05,5.64,brown,51.72107996419072
poisonous,5.5,4.16,brown,50.608727000653744
poisonous,1.49,2.02,grey,48.27169980853796
poisonous,3.23,5.29,grey,64.74884853698313
poisonous,4.97,4.06,grey,51.613943791016936
edible,8.39,2.48,brown,69.58603368140757
poisonous,7.13,6.87,red,59.01779141277075
poisonous,9.57,9.18,grey,42.64345267787576
poisonous,8.84,12.2,grey,42.34641223214567
poisonous,4.71,6.07,grey,30.897948388010263
poisonous,3.35,8.26,brown,57.3952744435519
edible,6.7,3.36,grey,37.11727005429566
poisonous,5.63,8.66,grey,58.927935026586056
edible,14.77,10.31,red,41.80362937040627
poisonous,3.39,7.99,grey,47.72606886923313
poisonous,9.2,8.32,grey,43.65621106699109
poisonous,11.35,9.57,grey,59.58636145107448
poisonous,13.84,4.21,brown,32.819202514365315
poisonous,3.46,0,brown,40.59878394007683
poisonous,6.86,7.47,brown,31.64789853617549
poisonous,16.27,9.98,brown,61.00098389200866
edible,9.33,8.72,grey,66.17922022938728
edible,6.44,5.82,brown,63.759481664747
edible,9.51,7.42,grey,52.30870170518756
edible,6.03,6.09,grey,69.4125409796834
poisonous,21.43,6.39,grey,33.8859954662621
edible,3.19,6.4,grey,51.05886627919972
edible,11.05,6.67,brown,47.12148176506162
poisonous,12.11,11.76,grey,42.37166665494442
edible,6.88,3.32,grey,50.75217768549919
edible,53.66,8.4,red,54.56904792226851
poisonous,0.53,3.35,red,33.283878806978464
edible,4.53,8.02,red,66.95327905006707
poisonous,5.83,8.06,brown,37.270166547968984
poisonous,5,7.08,brown,38.75727936625481
edible,9.14,5.13,grey,38.483027974143624
poisonous,6.52,5.73,brown,41.25939040444791
poisonous,20.42,6.43,brown,42.169881435111165
poisonous,8.75,7.58,grey,50.51508665084839
poisonous,7.17,5.62,grey,41.868197014555335
edible,6.92,5.03,grey,64.87953906878829
edible,3.42,5.8,red,52.817300809547305
edible,3.59,4.13,brown,34.15923695079982
edible,7.34,8.21,brown,37.55920762196183
poisonous,1,3.14,grey,46.500385804101825
edible,3.97,6.41,brown,46.569244395941496
poisonous,8.42,6.22,brown,33.89170181006193
edible,9.04,8.91,brown,52.81622822396457
poisonous,8.78,9.19,brown,69.47594586759806
edible,6.14,12.34,brown,34.72062226384878
poisonous,3.36,4,brown,42.26081925444305
edible,3.55,7.14,grey,47.556378999724984
edible,8.3,4.52,grey,54.33427482843399
edible,8.43,10.18,brown,30.84128006361425
poisonous,3,4.18,red,30.389489140361547
poisonous,6.52,7.63,brown,36.637447169050574
edible,8.32,6.97,brown,65.9446622338146
edible,7.64,6.22,grey,45.87183062918484
poisonous,6.15,6.76,grey,59.074993934482336
edible,8.78,7.12,brown,43.90618852339685
edible,9.84,8.39,brown,35.29204277321696
poisonous,16.16,17.93,grey,52.728672567754984
edible,5.06,5.43,brown,46.896168794482946
edible,16.83,26.42,grey,38.80747266113758
edible,8.93,9.27,red,33.477138513699174
poisonous,1.78,2.97,brown,41.113369800150394
edible,8.02,5.05,brown,34.8938630707562
poisonous,1.77,4.61,grey,67.49013677239418
edible,18.44,15.55,grey,41.018011095002294
poisonous,13.27,4.96,grey,50.03181551583111
edible,5.02,4.66,grey,33.81013073027134
poisonous,2.65,5.31,grey,68.90137801878154
poisonous,3.31,8.9,brown,46.18694138713181
edible,9.41,9.4,brown,33.71277584694326
edible,8.68,4.38,red,67.70538253709674
poisonous,7,6.11,grey,53.77836507745087
poisonous,7.82,7.97,red,40.996929332613945
edible,4,6.15,brown,41.1824462749064
edible,9.33,7.84,grey,40.391230480745435
poisonous,3.86,4.58,grey,69.34870815835893
edible,7.54,6.24,grey,66.69422879815102
poisonous,3.34,3.28,grey,41.5359406452626
poisonous,3.72,5.64,brown,50.63155496492982
edible,15.73,10.64,brown,53.700810596346855
poisonous,3.28,3.86,red,53.43187754973769
edible,8.63,16.49,brown,43.99159182794392
poisonous,8.38,7.92,brown,35.29121753759682
poisonous,10.84,4.71,grey,44.6331605874002
poisonous,5.06,7.23,red,51.718307761475444
edible,3.91,4.73,grey,57.98059341497719
poisonous,10.36,3.61,brown,51.751905400305986
edible,11.89,5.32,brown,66.61028870381415
poisonous,3.19,5.38,grey,33.29364437609911
poisonous,11.28,6.64,grey,52.03510453924537
edible,11.55,8.42,grey,31.098699625581503
edible,8.17,3.62,red,61.16097763180733
edible,6.29,4.91,brown,66.83300474658608
poisonous,1.32,1.22,grey,62.16753936372697
poisonous,2.92,3.52,red,62.11104745976627
poisonous,3.11,4.93,grey,44.6457873377949
edible,3.42,6.65,red,47.14337416924536
poisonous,1.39,3.6,grey,51.92066197283566
edible,4.43,6.76,grey,32.567227855324745
edible,12.48,6.37,red,59.16032750159502
edible,52.72,5.76,brown,48.2615901902318
poisonous,3.1,6.48,red,51.89460310153663
poisonous,19.94,8.47,brown,31.646285615861416
edible,15.18,14.4,grey,34.48528431355953
poisonous,1.36,3.55,brown,67.18741613440216
poisonous,3.17,4.26,grey,46.547455452382565
edible,3.24,3.79,brown,44.573907405138016
poisonous,3.78,8.3,brown,55.89718426577747
edible,4.13,4.51,brown,34.58513136021793
edible,4.57,6.89,grey,56.485578306019306
edible,9.02,5.17,grey,35.89610264636576
edible,19.59,11.87,brown,57.58254079148173
poisonous,5.92,7.45,grey,68.49738396704197
edible,5.25,4.63,brown,37.62252707965672
edible,10.12,6.93,grey,53.08570028282702
poisonous,7.19,13.29,grey,34.67317667789757
poisonous,12.98,6.31,grey,53.123281579464674
poisonous,3.73,4.74,brown,58.36357310414314
edible,11.69,11.57,red,48.215377293527126
edible,5.86,3.75,brown,61.613377342000604
poisonous,20.32,7.94,red,31.41032692976296
edible,4.15,6.2,grey,32.60642619803548
edible,6.97,6,grey,66.04499919340014
poisonous,2.92,9.63,grey,35.6798177305609
poisonous,11.63,10.44,brown,57.910164929926395
poisonous,9.53,10.62,grey,53.8899196498096
edible,5.9,4.71,grey,42.33047363348305
edible,1.39,6.01,grey,33.79143809899688
edible,10.49,4.62,red,57.382855638861656
poisonous,7.8,12.2,grey,59.527431605383754
poisonous,6.91,6.09,red,40.56012832559645
poisonous,6.65,4.19,red,34.50818320736289
edible,3.31,5.04,grey,65.2522012218833
edible,12,5.28,brown,36.86347437091172
edible,4.27,5.56,red,53.755465708673
poisonous,1.26,3.81,grey,48.44106041826308
edible,3.01,5.03,brown,69.2000930570066
poisonous,4.57,5.88,brown,43.355484772473574
edible,48.45,5.52,brown,48.88188359327614
poisonous,16.15,8.26,grey,66.2280313204974
edible,5,3.62,grey,39.212624030187726
edible,11.54,9.48,grey,67.7846145350486
edible,8.57,7.32,grey,69.27519319579005
poisonous,6.33,6.29,grey,67.44316435419023
poisonous,1.79,4.85,brown,38.45908437855542
edible,18.06,7.4,brown,69.19326033443213
edible,1.63,5.48,brown,67.07636921666563
poisonous,6.9,4.74,brown,52.6576916128397
edible,7.49,7.49,brown,51.84530219063163
edible,8.24,7.3,brown,42.305365642532706
edible,11.7,7.92,brown,51.560913445428014
poisonous,9.22,8.47,brown,43.5371726937592
edible,4.11,6.05,brown,43.13215157948434
edible,6.53,4.37,grey,64.7944434825331
poisonous,5.63,6.14,brown,47.05239113420248
poisonous,16.46,17.29,brown,38.64507336169481
poisonous,2.76,4.77,red,43.44358392059803
edible,6.57,5.64,grey,34.30809712968767
edible,10.99,7.4,grey,45.391890881583095
poisonous,3.41,4.89,grey,31.779553275555372
edible,8.41,8.49,red,34.681391566991806
poisonous,8.16,9.13,grey,64.06973050907254
poisonous,0.89,2.54,brown,36.88897800631821
poisonous,2.82,7.38,grey,35.010208738967776
poisonous,8.38,8.16,brown,35.06977939046919
edible,1.27,6.17,grey,58.14817297272384
edible,14.58,28.25,red,51.597143886610866
edible,4.45,7.18,brown,30.061979312449694
edible,8.67,3.94,brown,41.3565515819937
edible,8.79,4.88,grey,50.984250009059906
edible,8,6.63,grey,58.024859353899956
edible,8.42,8.39,red,40.09270736016333
poisonous,1.43,5.1,brown,51.53882788494229
poisonous,9.52,13.74,brown,32.64556265436113
poisonous,0.64,4.09,grey,62.503950791433454
poisonous,13.54,5.83,grey,30.77637480571866
edible,4.87,8.66,grey,62.32158447615802
poisonous,7.02,11.86,brown,60.28948240913451
edible,14.21,6.81,grey,46.81488465517759
poisonous,9.88,10.02,brown,31.62207478657365
edible,7.03,6.67,brown,44.31100720539689
edible,4.47,6.12,brown,40.92144312337041
edible,10.55,7.64,brown,55.553518794476986
poisonous,3.21,0,brown,46.63874199613929
poisonous,2.07,4.71,red,67.98821289092302
poisonous,1.19,2.96,brown,46.86767912469804
poisonous,1.89,8.56,brown,30.452098650857806
edible,7.37,3.52,brown,40.74653818272054
edible,9.1,7.11,red,57.406182400882244
edible,7.04,4.61,grey,35.61932571232319
poisonous,6.17,8.08,brown,50.84090826101601
poisonous,15.65,6.59,brown,48.5347362048924
poisonous,7.63,8.05,brown,32.41959173232317
edible,5.72,5.29,grey,64.99980707652867
edible,3.57,4.29,brown,34.21616688370705
poisonous,7.41,5.36,brown,67.26300378330052
edible,5.97,5.81,red,63.14470381475985
poisonous,6.99,8.97,grey,30.923283016309142
poisonous,3.76,3.8,grey,50.71410153992474
edible,17.17,6.63,brown,66.03317569941282
edible,9.24,7.84,grey,51.94204801693559
edible,12.2,6.34,brown,59.99546003527939
edible,2.47,5.49,brown,69.2708657681942
poisonous,6.45,6.04,grey,43.35967432707548
poisonous,6.07,8.92,grey,56.76494646817446
poisonous,13.26,9.29,brown,58.61710579134524
poisonous,1.85,4.06,grey,48.46365102566779
edible,11.3,5.67,grey,38.11412672512233
poisonous,10.75,11.57,brown,62.71183234639466
edible,6.05,14.12,brown,45.97291869111359
edible,5.34,6.72,grey,63.84072756394744
poisonous,6.69,5.69,grey,37.22677420824766
poisonous,4.6,11.68,red,46.77052102051675
poisonous,6.66,5.93,brown,53.15353261306882
poisonous,3.33,5.7,red,42.57902796380222
edible,4.29,6.76,brown,57.054865350946784
poisonous,16.89,5.25,red,66.23037767596543
poisonous,3.97,4.85,red,35.56196209974587
edible,4.41,6.84,brown,57.88102547638118
poisonous,9.99,12.88,brown,45.392577750608325
edible,7.97,8.5,brown,38.589971428737044
edible,6.49,5.06,grey,69.13946584798396
edible,5.73,6.2,grey,57.063184240832925
edible,8.24,7.27,brown,65.38015937432647
edible,6.37,7.99,brown,33.88047941029072
poisonous,0.84,5.62,brown,45.872538313269615
poisonous,6.07,6.35,grey,55.77004490420222
edible,21.02,18.44,brown,54.52627475373447
poisonous,6.61,11.78,red,63.93219099380076
poisonous,1.31,3.25,brown,52.8707617521286
edible,4.02,4.82,grey,51.63531721569598
poisonous,0.77,5.06,brown,44.39681098796427
edible,8.43,3.5,brown,59.13198214024305
poisonous,3.53,0,red,34.19647256843746
poisonous,7.35,6.33,red,48.59268322587013
poisonous,1.98,8.28,brown,43.45592062920332
poisonous,8.2,7.25,brown,40.110580176115036
poisonous,3.91,0,brown,53.01367614418268
poisonous,6.32,8.54,brown,45.145011246204376
poisonous,4.66,0,brown,36.628968976438046
edible,6.33,6.94,grey,42.53038429655135
edible,5.3,10.19,grey,45.34831477329135
edible,15.93,10.42,brown,33.66997788660228
edible,7.14,3.67,grey,60.958585208281875
poisonous,8.3,6.17,brown,30.517241740599275
poisonous,14.17,17.86,brown,59.87159652635455
poisonous,4.81,6,brown,63.419581558555365
poisonous,19.58,6.97,grey,47.775602815672755
edible,8.86,8.23,brown,52.66307280398905
poisonous,8.16,5.84,brown,33.23437389917672
edible,20.21,7.28,grey,48.324014423415065
edible,8.01,7.19,brown,55.94463245943189
edible,11.85,6.61,grey,31.0859221406281
edible,9.5,8.85,grey,58.87040823698044
edible,8.41,4.38,brown,43.095425721257925
poisonous,0.74,3.24,brown,41.40414477325976
edible,6.91,5.37,grey,51.46045762114227
poisonous,2.65,3.11,grey,48.61389313824475
poisonous,3.11,4.66,red,51.11799766309559
poisonous,2.99,0,brown,41.08019955456257
edible,5.66,3.45,red,41.763329580426216
poisonous,3.2,9.9,grey,46.89804215915501
edible,5.13,6.86,brown,49.930554125458
poisonous,8.28,12.21,grey,37.79575423337519
edible,51.27,6.91,grey,32.985711032524705
edible,21.53,18.06,brown,46.528048273175955
edible,7.75,9.19,brown,62.041917853057384
poisonous,4.1,5.85,red,54.93919407017529
poisonous,4.32,5.56,brown,37.20164370723069
edible,7.13,7.73,brown,66.62841085344553
poisonous,7.75,7.34,brown,67.30164914391935
poisonous,9.47,9.58,grey,35.874048396945
edible,4.01,5.94,grey,54.14189273491502
edible,6.35,6.84,brown,54.045790461823344
edible,3.76,4.53,brown,33.655527504161
poisonous,12.23,11.28,brown,48.4616310056299
poisonous,8.2,10.12,grey,44.03433914296329
poisonous,6.56,5.84,grey,57.01240833848715
edible,7.54,9.15,brown,61.64141921326518
poisonous,1.19,3.07,grey,57.16576176695526
edible,6.58,3.39,grey,44.491850566118956
poisonous,2.82,5.16,brown,54.75657810457051
edible,14.31,13.82,grey,43.505193470045924
edible,4.57,6.74,brown,64.31032749824226
poisonous,4.73,3.33,grey,66.17853215895593
edible,1.15,3.4,brown,33.96465791389346
edible,1.13,3.02,red,56.867838678881526
poisonous,18.84,7.06,brown,38.20906580425799
poisonous,7.62,5.32,grey,43.5459609515965
edible,18.19,16.8,grey,46.214091666042805
poisonous,1.41,3.76,brown,35.905371652916074
poisonous,1.64,4.56,red,63.93586409278214
poisonous,3.89,5.54,grey,43.771774442866445
poisonous,4.28,5.9,grey,34.96579831466079
edible,9.89,4.96,brown,66.12630206160247
edible,5.17,5.54,brown,67.98026475124061
poisonous,3.03,5.21,brown,54.184674294665456
poisonous,4.2,5.88,grey,67.17127487063408
poisonous,5.22,3.33,red,34.81603895314038
edible,4.63,5.86,red,69.97700314968824
edible,1.49,4.62,grey,56.91366727463901
poisonous,0.94,3.23,red,54.828038457781076
poisonous,1.42,3.88,red,39.749234579503536
poisonous,3.13,5.77,brown,63.58039232902229
poisonous,3.19,3.39,red,50.815674997866154
edible,8.58,5.8,brown,31.230880664661527
poisonous,4.04,6.02,grey,41.46912433207035
poisonous,8.4,10.65,brown,35.0457664206624
poisonous,10.86,5.93,grey,60.11639341711998
poisonous,1.17,3.42,red,45.17912397161126
edible,18.98,27.41,brown,52.74030779488385
edible,9.75,22.18,brown,49.687467804178596
poisonous,0.7,3.99,red,67.33131327666342
poisonous,8.25,5.3,grey,46.113865822553635
poisonous,1.74,4.81,grey,46.74188179895282
poisonous,3.44,4.33,brown,66.16895081475377
poisonous,8.15,9.71,grey,46.43625905737281
poisonous,9.69,10.53,red,44.944362975656986
poisonous,13.17,11.22,red,68.58548365533352
poisonous,3.65,0,brown,66.02086102589965
edible,10.55,5.3,brown,30.017974050715566
poisonous,7.97,4.34,grey,50.90434622019529
poisonous,8.51,8.46,grey,65.24048362858593
poisonous,2.79,0,brown,57.70234700292349
edible,6.12,7,brown,68.54167910292745
poisonous,15.67,6.43,grey,67.24395918659866
edible,7.22,3.94,red,68.21216648444533
poisonous,2.47,7.56,grey,54.48567854240537
poisonous,3.97,0,grey,65.38990035653114
poisonous,11.14,10.54,grey,58.183806389570236
poisonous,1.36,3.77,red,68.09259730391204
poisonous,4.19,5.53,grey,32.10589472204447
edible,4.62,5.06,grey,65.09715755470097
poisonous,7.96,4.77,grey,37.151722786948085
poisonous,1.32,3.98,grey,54.33167351409793
edible,3.41,3.17,brown,65.72455539368093
edible,5.98,8.32,red,48.58311451040208
edible,7.35,6.52,grey,59.16615086607635
poisonous,7.41,12.1,brown,38.300027986988425
edible,4.95,6.23,brown,63.45097513869405
poisonous,7.27,9.06,grey,41.77357544191182
edible,19.15,12.82,red,67.90652168914676
edible,9.83,6.43,grey,57.01115844771266
poisonous,5.86,9.36,brown,31.08440793119371
edible,6.18,6.91,grey,57.62890194542706
poisonous,2.16,5.28,grey,42.657113429158926
poisonous,4.5,5.33,red,44.2486902885139
poisonous,14.42,17.03,grey,32.22501814365387
edible,13.1,2.62,grey,51.90762847661972
poisonous,10.69,9.78,grey,52.06307961605489
poisonous,3.62,5.64,brown,50.90130859054625
poisonous,1,3.2,brown,38.327093655243516
poisonous,8.96,9.78,brown,50.52308819256723
poisonous,8.25,5.79,red,42.873729011043906
edible,7.36,6.9,grey,69.93689693510532
edible,5.88,4.88,brown,65.0750713981688
edible,4.22,6.64,brown,31.523964516818523
edible,7.08,6.34,grey,44.01331407018006
edible,8.54,9.71,grey,67.2717466764152
edible,6.38,6.28,grey,64.99691628850996
edible,11.47,7.66,brown,47.00702605769038
poisonous,6.7,4.61,grey,30.100703947246075
edible,4.18,6.69,brown,46.734873186796904
edible,3.96,4.52,brown,62.630098573863506
poisonous,5.98,5.55,brown,61.11051734536886
edible,8.33,6.87,brown,45.11839974671602
edible,18.87,18.88,red,67.8093760740012
poisonous,9.63,10.73,brown,67.9659754037857
poisonous,8.54,9.46,brown,37.71245530806482
edible,18.22,7.71,grey,42.11435252800584
edible,3.92,4.61,red,54.85125783830881
poisonous,11.67,9.35,brown,67.61072202585638
poisonous,3.54,3.54,red,41.23020237311721
poisonous,6.62,5.99,brown,32.69948489032686
edible,9.84,7.45,red,68.7337081041187
poisonous,5.56,5.46,grey,39.3899161927402
poisonous,8.65,5.02,red,53.50961346179247
poisonous,8.26,7.39,grey,48.13124991953373
poisonous,4.86,8.26,grey,39.42931955680251
poisonous,2.78,2.82,red,39.11761830560863
edible,3.95,5.21,grey,46.85439654625952
poisonous,5.5,7.96,brown,68.68975161574781
edible,3.54,5.17,brown,62.643048176541924
edible,6.8,5.05,grey,49.29414459504187
edible,8.2,8.54,brown,38.25881636701524
poisonous,3.41,6.23,grey,30.568810859695077
edible,1.29,4.95,red,61.10906305722892
edible,1.13,2.84,grey,46.47627138532698
poisonous,4.08,5.73,brown,52.36065734177828
poisonous,3.42,3.8,brown,63.10573955997825
edible,7.27,9.2,grey,61.17037379182875
poisonous,0.65,3.47,red,58.9138765539974
poisonous,6.79,12.99,red,68.53587592951953
edible,6.88,5.54,brown,51.14435385912657
poisonous,9.12,5.29,brown,58.158413749188185
poisonous,14.38,9.82,grey,54.87740016542375
edible,8.63,7.73,brown,31.93433524109423
poisonous,3.34,5.78,grey,62.16647074557841
edible,3.01,6.04,brown,40.9638555534184
poisonous,1.6,5.15,grey,43.146033054217696
poisonous,3.9,8.09,brown,68.5406351275742
poisonous,2.14,2.57,brown,36.895703403279185
poisonous,2.97,2.95,brown,31.012418726459146
edible,6.27,6.03,brown,37.28486815467477
poisonous,6.67,5.94,brown,45.792781338095665
edible,18.91,25.62,grey,65.85656365379691
